name;image;description;positions;known_for;Producción;Equipos adicionales;Dirección;Banda sonora;Guion;Reparto;Música;Como sí mismos;Agradecimientos;IMDbPro;Animación;Arte;Sonido;Cámara y electricidad;metraje de archivo;Vestuario;Diseño de vestuario;Dirección o asistencia de la segunda unidad;Composición;sonido de archivo;Edición;Dirección de fotografía y cámara
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Los ángeles de Charlie: Al límite;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;4,9;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Dirección;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;2003;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Terminator: Salvation;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;6,5;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Dirección(directed by);62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;2009;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;The Babysitter: Killer Queen;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;5,8;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Producción(produced by, p.g.a.);62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;2020;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;3 días para matar;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;6,2;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;Dirección;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_QL75_UY133_CR4,0,90,133_.jpg;McG nació el 9 de agosto de 1968 en Kalamazoo, Michigan, Estados Unidos. Es un productor y director, conocido por Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) y The Babysitter: Killer Queen (2020).;Hola;2014;62;1;50;9;2;2;1;42;3;;;;;;;;;;;;;
Blair Simmons;;;Dirección;Blaze y los Monster Machines;;1;11;;;;;;1;;7;1;;;;;;;;;;
Blair Simmons;;;Dirección;5,7;;1;11;;;;;;1;;7;1;;;;;;;;;;
