name;image;description;positions;known_for;Reparto;Producción;Guion;Banda sonora;Guion y continuidad;Composición;sonido de archivo;Música;Como sí mismos;Agradecimientos;metraje de archivo;IMDbPro;Dirección;Dirección o asistencia de la segunda unidad;Equipos adicionales
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;El aguador;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;Bobby Boucher;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;Little Nicky;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;Nicky;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;El chico ideal;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;Robbie Hart;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;Un papá genial;86;62;28;36;7;3;2;1;268;10;81;;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_QL75_UY133_CR3,0,90,133_.jpg;Adam Sandler nació el 9 de septiembre de 1966 en Brooklyn, Nueva York, Nueva York, Estados Unidos. Es un actor y productor, conocido por El aguador (1998), Little Nicky (2000) y El chico ideal (1998). Está casado con Jackie Sandler desde el 22 de junio de 2003. Tienen dos niños.;Reparto;Sonny Koufax;86;62;28;36;7;3;2;1;268;10;81;;;;
Maya Rudolph;https://m.media-amazon.com/images/M/MV5BMTMzOTQwMzAyOF5BMl5BanBnXkFtZTYwNzA1OTc0._V1_QL75_UX90_CR0,3,90,133_.jpg;Maya Rudolph nació el 27 de julio de 1972 en Gainesville, Florida, Estados Unidos. Es una actriz y productora, conocida por La boda de mi mejor amiga (2011), Un lugar donde quedarse (2009) y El camino de vuelta (2013).;Reparto;La boda de mi mejor amiga;116;11;2;29;;;;1;125;7;35;;;;
Maya Rudolph;https://m.media-amazon.com/images/M/MV5BMTMzOTQwMzAyOF5BMl5BanBnXkFtZTYwNzA1OTc0._V1_QL75_UX90_CR0,3,90,133_.jpg;Maya Rudolph nació el 27 de julio de 1972 en Gainesville, Florida, Estados Unidos. Es una actriz y productora, conocida por La boda de mi mejor amiga (2011), Un lugar donde quedarse (2009) y El camino de vuelta (2013).;Reparto;Lillian;116;11;2;29;;;;1;125;7;35;;;;
