,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,avggift
0,FL,M,1158.437751,392.0,430.0,466.0,520.0,
1,IL,,537.0,365.0,415.0,410.0,473.0,5.666666667
2,FL,F,725.0,301.0,340.0,361.0,436.0,4.111111111
3,NC,M,1158.437751,,407.0,,413.0,27.27777778
4,FL,F,995.0,,280.0,316.0,348.0,6.0
5,NV,,1569.0,673.0,672.0,785.0,781.0,13.0
6,CA,,1026.0,459.0,470.0,491.0,496.0,11.25
7,MI,F,890.0,463.0,474.0,512.0,523.0,11.28571429
8,FL,F,1513.0,521.0,599.0,615.0,702.0,18.5
9,,F,948.0,330.0,365.0,,411.0,
10,IL,M,1063.0,255.0,,312.0,317.0,8.372790698
11,IL,M,291.0,136.0,168.0,,212.0,10.61111111
12,CA,M,1538.0,271.0,317.0,342.0,393.0,5.5
13,TX,F,715.0,339.0,378.0,,396.0,6.0
14,FL,M,559.0,232.0,270.0,257.0,269.0,12.61111111
15,TX,M,1158.437751,368.0,457.0,450.0,531.0,12.25
16,CA,F,596.0,164.0,168.0,181.0,190.0,16.5
17,GA,F,878.0,310.0,517.0,433.0,588.0,10.13333333
18,WA,F,1275.0,,453.0,500.0,545.0,6.6
19,,F,2362.0,613.0,632.0,,678.0,8.928571429
20,CA,F,2089.0,275.0,296.0,322.0,356.0,7.125
21,AL,,765.0,408.0,430.0,,472.0,33.5
22,TX,M,1458.0,299.0,354.0,356.0,446.0,6.181818182
23,CA,F,1590.0,240.0,238.0,262.0,,13.5
24,IL,F,613.0,212.0,245.0,294.0,355.0,
25,SC,F,477.0,256.0,282.0,292.0,,5.875
26,IA,F,424.0,192.0,,230.0,256.0,4.863636364
27,CO,M,383.0,,256.0,359.0,380.0,13.82352941
28,TX,M,688.0,422.0,466.0,457.0,490.0,11.06666667
29,CA,F,2143.0,280.0,353.0,328.0,373.0,9.260869565
30,FL,F,625.0,246.0,466.0,362.0,536.0,14.09090909
31,CA,M,1560.0,500.0,488.0,487.0,485.0,15.0
32,NC,,716.0,146.0,339.0,,382.0,12.47826087
33,TX,F,1247.0,215.0,313.0,350.0,444.0,26.33333333
34,,M,611.0,,323.0,302.0,337.0,15.0
35,,F,1431.0,291.0,390.0,315.0,,13.0
36,LA,F,1089.0,,,,538.0,5.2
37,IA,F,435.0,244.0,298.0,,329.0,
38,CA,F,1409.0,,405.0,377.0,,12.66666667
39,OR,M,647.0,369.0,422.0,401.0,463.0,9.5
40,NC,,415.0,199.0,308.0,242.0,300.0,
41,IL,F,492.0,172.0,384.0,276.0,399.0,8.75
42,TX,M,1043.0,610.0,682.0,731.0,788.0,
43,IL,F,192.0,164.0,211.0,186.0,224.0,5.866666667
44,WA,M,824.0,225.0,308.0,293.0,383.0,7.483333333
45,AL,F,417.0,122.0,,160.0,250.0,7.75
46,TN,F,399.0,307.0,315.0,336.0,,6.818181818
47,,,2377.0,,637.0,652.0,663.0,9.111111111
48,CA,F,2016.0,431.0,465.0,459.0,497.0,
49,CO,,933.0,289.0,332.0,349.0,379.0,8.142857143
50,,F,619.0,215.0,222.0,260.0,,12.8
51,LA,F,960.0,479.0,526.0,,613.0,15.2
52,CO,,1236.0,,630.0,727.0,737.0,6.076923077
53,AZ,M,473.0,164.0,179.0,207.0,215.0,
