,state,gender,median_home_val,total_baños,income,dist_playa,num_vecinos,num_habitaciones
0,FL,M,1158.437751,430.0,392.0,12.203275329267012,466.0,520.0
1,IL,F,537.0,415.0,365.0,5.666666667,410.0,473.0
2,FL,F,725.0,340.0,301.0,4.111111111,361.0,436.0
3,NC,M,1158.437751,407.0,322.97061809165405,27.27777778,375.4,413.0
4,FL,F,995.0,280.0,274.7436385577981,6.0,316.0,348.0
5,NV,F,1569.0,672.0,673.0,13.0,785.0,781.0
6,CA,F,1026.0,470.0,459.0,11.25,491.0,496.0
7,MI,F,890.0,474.0,463.0,11.28571429,512.0,523.0
8,FL,F,1513.0,599.0,521.0,18.5,615.0,702.0
9,F,F,948.0,365.0,330.0,11.545459385770418,361.2,411.0
10,IL,M,1063.0,380.61,255.0,8.372790698,312.0,317.0
11,IL,M,291.0,168.0,136.0,10.61111111,343.4,212.0
12,CA,M,1538.0,317.0,271.0,5.5,342.0,393.0
13,TX,F,715.0,378.0,339.0,6.0,351.0,396.0
14,FL,M,559.0,270.0,232.0,12.61111111,257.0,269.0
15,TX,M,1158.437751,457.0,368.0,12.25,450.0,531.0
16,CA,F,596.0,168.0,164.0,16.5,181.0,190.0
17,GA,F,878.0,517.0,310.0,10.13333333,433.0,588.0
18,WA,F,1275.0,453.0,446.7715463485465,6.6,500.0,545.0
19,F,F,2362.0,632.0,613.0,8.928571429,442.0,678.0
20,CA,F,2089.0,296.0,275.0,7.125,322.0,356.0
21,AL,F,765.0,430.0,408.0,33.5,444.0,472.0
22,TX,M,1458.0,354.0,299.0,6.181818182,356.0,446.0
23,CA,F,1590.0,238.0,240.0,13.5,262.0,347.8
24,IL,F,613.0,245.0,212.0,11.08281612540793,294.0,355.0
25,SC,F,477.0,282.0,256.0,5.875,292.0,422.6
26,IA,F,424.0,380.61,192.0,4.863636364,230.0,256.0
27,CO,M,383.0,256.0,321.06265130961236,13.82352941,359.0,380.0
28,TX,M,688.0,466.0,422.0,11.06666667,457.0,490.0
29,CA,F,2143.0,353.0,280.0,9.260869565,328.0,373.0
30,FL,F,625.0,466.0,246.0,14.09090909,362.0,536.0
31,CA,M,1560.0,488.0,500.0,15.0,487.0,485.0
32,NC,F,716.0,339.0,146.0,12.47826087,295.0,382.0
33,TX,F,1247.0,313.0,215.0,26.33333333,350.0,444.0
34,F,M,611.0,323.0,260.02764990942984,15.0,302.0,337.0
35,F,F,1431.0,390.0,291.0,13.0,315.0,348.8
36,LA,F,1089.0,380.61,429.81135590180503,5.2,355.4,538.0
37,IA,F,435.0,298.0,244.0,10.99304859868822,308.8,329.0
38,CA,F,1409.0,405.0,328.79176915867794,12.66666667,377.0,388.0
39,OR,M,647.0,422.0,369.0,9.5,401.0,463.0
40,NC,F,415.0,308.0,199.0,10.756672254529702,242.0,300.0
41,IL,F,492.0,384.0,172.0,8.75,276.0,399.0
42,TX,M,1043.0,682.0,610.0,13.938255248313341,731.0,788.0
43,IL,F,192.0,211.0,164.0,5.866666667,186.0,224.0
44,WA,M,824.0,308.0,225.0,7.483333333,293.0,383.0
45,AL,F,417.0,380.61,122.0,7.75,160.0,250.0
46,TN,F,399.0,315.0,307.0,6.818181818,336.0,447.8
47,F,F,2377.0,637.0,608.1531670911309,9.111111111,652.0,663.0
48,CA,F,2016.0,465.0,431.0,12.128026623050314,459.0,497.0
49,CO,F,933.0,332.0,289.0,8.142857143,349.0,379.0
50,F,F,619.0,222.0,215.0,12.8,260.0,352.0
51,LA,F,960.0,526.0,479.0,15.2,391.4,613.0
52,CO,F,1236.0,630.0,680.95122033288,6.076923077,727.0,737.0
53,AZ,M,473.0,179.0,164.0,10.317042630831361,207.0,215.0
54,F,F,1055.0,462.0,366.0,20.8,379.0,400.0
55,F,F,1509.0,617.0,545.0,9.0,436.6,680.0
56,F,M,927.0,322.0,299.0,5.0,372.0,410.0
57,CA,F,2098.0,311.0,316.43225099707206,11.319744133099977,352.0,368.0
58,AZ,M,2158.0,516.0,411.0,7.933333333,535.0,640.0
59,MO,F,1110.0,380.61,460.0,12.810961956470994,538.0,624.0
60,F,F,581.0,361.0,349.0,9.857142857,359.0,373.0
61,LA,M,563.0,301.0,259.0,10.18181818,488.6,342.0
62,F,F,740.0,288.0,240.0,5.0,355.8,324.0
63,IA,F,516.0,378.0,332.0,12.33333333,347.0,379.0
64,MN,M,575.0,282.0,252.26722393191358,10.0,290.0,316.0
65,F,M,2357.0,540.0,511.0,13.66666667,422.8,609.0
66,SC,M,645.0,360.0,304.0,10.875,306.0,376.0
67,F,M,825.0,380.61,258.8209607855771,20.0,290.0,301.0
68,IN,M,531.0,278.0,246.0,10.804239941904541,272.0,290.0
69,KY,F,195.0,148.0,128.3377569654902,4.302325581,159.0,179.0
70,KY,F,423.0,297.0,245.81974636128592,6.055555556,274.0,279.0
71,CA,F,2725.0,684.0,629.0,15.0,662.0,734.0
72,OK,F,359.0,247.0,220.0,20.0,270.0,299.0
73,CA,F,889.0,488.0,398.0,5.846153846,450.0,495.0
74,FL,M,824.0,274.0,248.0,10.981961158552792,288.0,326.0
75,CA,M,1993.0,380.61,442.0,10.83333333,484.0,520.0
76,TX,F,618.0,310.0,235.45298037594713,10.25,302.0,394.0
77,NE,F,151.0,208.0,180.0,2.361111111,230.0,374.2
78,MI,M,492.0,370.0,252.9875324557472,14.57142857,317.0,402.0
79,F,F,892.0,406.0,380.0,17.0,426.0,468.0
80,GA,F,948.0,530.0,531.0,5.484848485,585.0,584.0
81,LA,F,717.0,313.0,190.0,24.16666667,235.0,302.0
82,MI,M,612.0,326.0,330.0,11.530848517698388,392.0,400.0
83,F,F,919.0,337.0,338.0,8.214285714,349.0,346.0
84,WA,M,697.0,364.0,317.0,10.0,337.0,404.8
85,CA,F,2750.0,701.0,668.0,11.44444444,717.0,781.0
86,KS,F,513.0,434.0,384.55658270478125,6.07675,436.0,482.0
87,CA,F,1848.0,515.0,505.0,5.684210526,366.8,581.0
88,CA,M,1417.0,341.0,406.0,14.11111111,519.0,508.0
89,IL,F,347.0,380.61,210.0,8.076923077,229.0,286.0
90,NC,M,994.0,475.0,404.0,13.77777778,485.0,530.0
91,NC,M,797.0,418.0,377.0,11.832715436550197,423.0,451.0
92,IN,M,791.0,407.0,343.6503385032385,11.65456044612337,390.0,428.0
93,FL,F,957.0,399.0,408.0,15.0,450.0,456.2
94,MN,F,357.0,214.0,174.4240562210224,25.0,215.0,254.0
95,CA,F,896.0,362.0,336.0,20.0,389.0,433.8
96,AL,F,402.0,249.0,232.0,10.840983125219067,276.0,300.0
97,MI,M,294.0,355.0,355.4312915811282,17.5,391.0,404.0
